t,wind_phase,mean_err_m,max_err_m,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,throughput_ratio,latency_proxy,control_overhead,task_reassign,task_cost_mean,failed_count,alive_ratio,agentic_active,agentic_ref_shift,supervisor_active,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold,sat_frac
0.0,0.0,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,1.1403882032022077,1.0,1.0,1.0,1.0,0.0,7.3190429385894396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.020833333333333332,0.0,7.326802156213088,8.064214219041007,7.326802156213088,8.064214219041007,7.326802156213088,8.064214219041007,1.1392019945032843,1.0,1.0,1.0,1.0,0.0,7.326802156213088,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.041666666666666664,0.0,7.350628482893146,8.083555081175788,7.350628482893146,8.083555081175788,7.350628482893146,8.083555081175788,1.1353849149822082,1.0,1.0,1.0,1.0,0.0,7.350628482893146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25
0.0625,0.0,7.394564309589192,8.117746588068112,7.394564309589192,8.117746588068112,7.394564309589192,8.117746588068112,1.1216186631669611,1.0,1.0,1.0,1.0,0.0,7.394564309589192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.08333333333333333,0.0,7.459125470409217,8.168616517208735,7.459125470409217,8.168616517208735,7.459125470409217,8.168616517208735,1.097763622562059,1.0,1.0,1.0,1.0,0.0,7.459125470409217,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.10416666666666667,0.0,7.546783904031868,8.239391066397493,7.546783904031868,8.239391066397493,7.546783904031868,8.239391066397493,1.0698211268581508,1.0,1.0,1.0,1.0,0.0,7.546783904031868,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.125,0.0,7.657574875270735,8.331791490313206,7.657574875270735,8.331791490313206,7.657574875270735,8.331791490313206,1.0406841894982863,1.0,1.0,1.0,1.0,0.0,7.657574875270735,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.14583333333333334,0.0,7.799518535100145,8.453794716316581,7.799518535100145,8.453794716316581,7.799518535100145,8.453794716316581,0.9918862137896814,1.0,1.0,1.0,1.0,0.0,7.799518535100145,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.16666666666666666,0.0,7.948738554957012,8.642173968651734,7.948738554957012,8.642173968651734,7.948738554957012,8.642173968651734,0.9645302556009178,1.0,1.0,1.0,1.0,0.0,7.948738554957012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5
0.1875,0.0,8.046632941972243,8.75387901234407,8.046632941972243,8.75387901234407,8.046632941972243,8.75387901234407,0.962441686008803,1.0,1.0,1.0,1.0,0.0,8.046632941972243,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.25
0.20833333333333334,0.0,8.135208258288586,8.850343393914256,8.135208258288586,8.850343393914256,8.135208258288586,8.850343393914256,0.9547069214283079,1.0,1.0,1.0,1.0,0.0,8.135208258288586,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5
0.22916666666666666,0.0,8.226583419162216,8.941569188365563,8.226583419162216,8.941569188365563,8.226583419162216,8.941569188365563,0.951207419241417,1.0,1.0,1.0,1.0,0.0,8.226583419162216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5
0.25,0.0,8.307790587129626,9.010466981489326,8.307790587129626,9.010466981489326,8.307790587129626,9.010466981489326,0.9419383002355917,1.0,1.0,1.0,1.0,0.0,8.307790587129626,0.0,1.0,0.0,0.0,1.0,2.0,0.01749999999999999,1.0,1.0,1.0,0.75
0.2708333333333333,0.0,8.40776151546913,9.172050870777193,8.40776151546913,9.172050870777193,8.40776151546913,9.172050870777193,0.9324561902974394,1.0,1.0,1.0,1.0,0.0,8.40776151546913,0.0,1.0,0.0,0.0,1.0,2.0,0.01749999999999999,1.0,1.0,1.0,0.25
0.2916666666666667,0.0,8.513116000218737,9.358209678135552,8.513116000218737,9.358209678135552,8.513116000218737,9.358209678135552,0.9332491050683972,1.0,1.0,1.0,1.0,0.0,8.513116000218737,0.0,1.0,0.0,0.0,1.0,2.0,0.01749999999999999,1.0,1.0,1.0,0.0
0.3125,0.0,8.6286706954093,9.568586537912632,8.6286706954093,9.568586537912632,8.6286706954093,9.568586537912632,0.9410020172522903,1.0,1.0,1.0,1.0,0.0,8.6286706954093,0.0,1.0,0.0,0.0,1.0,2.0,0.01749999999999999,1.0,1.0,1.0,0.5
0.3333333333333333,0.0,8.748884925113959,9.770350054251685,8.748884925113959,9.770350054251685,8.748884925113959,9.770350054251685,0.9498458135860954,1.0,1.0,1.0,1.0,0.0,8.748884925113959,0.0,1.0,0.0,0.0,1.0,2.0,0.01749999999999999,1.0,1.0,1.0,0.5
0.3541666666666667,0.0,8.863602149569914,9.899725940603044,8.863602149569914,9.899725940603044,8.863602149569914,9.899725940603044,0.9411916914234153,1.0,1.0,1.0,1.0,0.0,8.863602149569914,0.0,1.0,0.0,0.0,1.0,2.0,0.01749999999999999,1.0,1.0,1.0,0.25
0.375,0.0,8.99039335698477,10.026261779918912,8.99039335698477,10.026261779918912,8.99039335698477,10.026261779918912,0.9242075350770953,1.0,1.0,1.0,1.0,0.0,8.99039335698477,0.0,1.0,0.0,0.0,1.0,2.0,0.01749999999999999,1.0,1.0,1.0,0.5
0.3958333333333333,0.0,9.116131576543978,10.169990014375877,9.116131576543978,10.169990014375877,9.116131576543978,10.169990014375877,0.9171072000786085,1.0,1.0,1.0,1.0,0.0,9.116131576543978,0.0,1.0,0.0,0.0,1.0,2.0,0.01749999999999999,1.0,1.0,1.0,0.25
0.4166666666666667,0.0,9.248651347001168,10.298838607113064,9.248651347001168,10.298838607113064,9.248651347001168,10.298838607113064,0.9143959825657686,1.0,1.0,1.0,1.0,0.0,9.248651347001168,0.0,1.0,0.0,0.0,1.0,2.0,0.01749999999999999,1.0,1.0,1.0,0.5
0.4375,0.0,9.389760242473313,10.420585970407725,9.389760242473313,10.420585970407725,9.389760242473313,10.420585970407725,0.9118470744902324,1.0,1.0,1.0,1.0,0.0,9.389760242473313,0.0,1.0,0.0,0.0,1.0,2.0,0.01749999999999999,1.0,1.0,1.0,0.25
0.4583333333333333,0.0,9.5331779799918,10.5388572954294,9.5331779799918,10.5388572954294,9.5331779799918,10.5388572954294,0.9106781994714321,1.0,1.0,1.0,1.0,0.0,9.5331779799918,0.0,1.0,0.0,0.0,1.0,2.0,0.01749999999999999,1.0,1.0,1.0,0.5
0.4791666666666667,0.0,9.6791036264685,10.643191857750834,9.6791036264685,10.643191857750834,9.6791036264685,10.643191857750834,0.915152955312658,1.0,1.0,1.0,1.0,0.0,9.6791036264685,0.0,1.0,0.0,0.0,1.0,2.0,0.01749999999999999,1.0,1.0,1.0,0.5
0.5,0.0,9.815536173128836,10.755992254422816,9.815536173128836,10.755992254422816,9.815536173128836,10.755992254422816,0.9411424089442317,1.0,1.0,1.0,1.0,0.0,9.815536173128836,0.0,1.0,0.0,0.0,1.0,2.0,0.0349179095841923,1.0,1.0,1.0,0.5
0.5208333333333334,0.0,9.954641575502322,10.879401845990506,9.954641575502322,10.879401845990506,9.954641575502322,10.879401845990506,0.9950564819695946,1.0,1.0,1.0,1.0,0.0,9.954641575502322,0.0,1.0,0.0,0.0,1.0,2.0,0.0349179095841923,1.0,1.0,1.0,0.5
0.5416666666666666,0.0,10.085009498793788,10.95675961394236,10.085009498793788,10.95675961394236,10.085009498793788,10.95675961394236,1.0535284341298041,1.0,1.0,1.0,1.0,0.0,10.085009498793788,0.0,1.0,0.0,0.0,1.0,2.0,0.0349179095841923,1.0,1.0,1.0,0.25
0.5625,0.0,10.214645809875451,11.034708947888568,10.214645809875451,11.034708947888568,10.214645809875451,11.034708947888568,1.1133723597890426,1.0,1.0,1.0,1.0,0.0,10.214645809875451,0.0,1.0,0.0,0.0,1.0,2.0,0.0349179095841923,1.0,1.0,1.0,0.5
0.5833333333333334,0.0,10.337024522771099,11.2152542159453,10.337024522771099,11.2152542159453,10.337024522771099,11.2152542159453,1.1693662835639291,1.0,1.0,1.0,1.0,0.0,10.337024522771099,0.0,1.0,0.0,0.0,1.0,2.0,0.0349179095841923,1.0,1.0,1.0,0.25
0.6041666666666666,0.0,10.438542772093928,11.384040671391942,10.438542772093928,11.384040671391942,10.438542772093928,11.384040671391942,1.2231369371441294,1.0,1.0,1.0,1.0,0.0,10.438542772093928,0.0,1.0,0.0,0.0,1.0,2.0,0.0349179095841923,1.0,1.0,1.0,0.5
0.625,0.0,10.506543193306447,11.563473468764188,10.506543193306447,11.563473468764188,10.506543193306447,11.563473468764188,1.318481794494007,1.0,1.0,1.0,1.0,0.0,10.506543193306447,0.0,1.0,0.0,0.0,1.0,2.0,0.0349179095841923,1.0,1.0,1.0,0.5
