t,wind_phase,mean_err_m,max_err_m,mean_err_nominal_m,max_err_nominal_m,mean_err_cmd_m,max_err_cmd_m,formation_err_rel,connectivity_rate,throughput_ratio,latency_proxy,control_overhead,task_reassign,task_cost_mean,failed_count,alive_ratio,agentic_active,agentic_ref_shift,supervisor_active,supervisor_mode,ref_shift_norm,formation_scale,smooth_alpha,int_hold,sat_frac
0.0,0.0,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,7.3190429385894396,8.06225774829855,1.1403882032022077,1.0,1.0,1.0,1.0,0.0,7.3190429385894396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.020833333333333332,0.0,7.326933558707642,8.064072275812894,7.326933558707642,8.064072275812894,7.326933558707642,8.064072275812894,1.1388246754882576,1.0,1.0,1.0,1.0,0.0,7.326933558707642,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.041666666666666664,0.0,7.34811904350536,8.083124394504075,7.34811904350536,8.083124394504075,7.34811904350536,8.083124394504075,1.1365432709135659,1.0,1.0,1.0,1.0,0.0,7.34811904350536,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.0625,0.0,7.3805292574814985,8.117025029727502,7.3805292574814985,8.117025029727502,7.3805292574814985,8.117025029727502,1.1355924574689256,1.0,1.0,1.0,1.0,0.0,7.3805292574814985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.08333333333333333,0.0,7.4261853287223,8.167594858729727,7.4261853287223,8.167594858729727,7.4261853287223,8.167594858729727,1.1349311386855592,1.0,1.0,1.0,1.0,0.0,7.4261853287223,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.10416666666666667,0.0,7.488325195841984,8.236360448599951,7.488325195841984,8.236360448599951,7.488325195841984,8.236360448599951,1.132591899995457,1.0,1.0,1.0,1.0,0.0,7.488325195841984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.125,0.0,7.567693322060057,8.325111597678411,7.567693322060057,8.325111597678411,7.567693322060057,8.325111597678411,1.1285240211982779,1.0,1.0,1.0,1.0,0.0,7.567693322060057,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.14583333333333334,0.0,7.685859557182229,8.440334801946594,7.685859557182229,8.440334801946594,7.685859557182229,8.440334801946594,1.1061138975501614,1.0,1.0,1.0,1.0,0.0,7.685859557182229,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.16666666666666666,0.0,7.824398539472249,8.560285695759896,7.824398539472249,8.560285695759896,7.824398539472249,8.560285695759896,1.0798243715216471,1.0,1.0,1.0,1.0,0.0,7.824398539472249,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.1875,0.0,7.921506765293735,8.620598567990116,7.921506765293735,8.620598567990116,7.921506765293735,8.620598567990116,1.0404941980342242,1.0,1.0,1.0,1.0,0.0,7.921506765293735,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.20833333333333334,0.0,7.971283206038742,8.673164814022705,7.971283206038742,8.673164814022705,7.971283206038742,8.673164814022705,1.0014834094321208,1.0,1.0,1.0,1.0,0.0,7.971283206038742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.22916666666666666,0.0,8.013333396990307,8.711418984728008,8.013333396990307,8.711418984728008,8.013333396990307,8.711418984728008,0.9750121644258702,1.0,1.0,1.0,1.0,0.0,8.013333396990307,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.25,0.0,8.039626963104434,8.741497345624104,8.039626963104434,8.741497345624104,8.039626963104434,8.741497345624104,0.9223475132515562,1.0,1.0,1.0,1.0,0.0,8.039626963104434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.2708333333333333,0.0,8.054992629518749,8.773294022403642,8.054992629518749,8.773294022403642,8.054992629518749,8.773294022403642,0.8637486604221907,1.0,1.0,1.0,1.0,0.0,8.054992629518749,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.2916666666666667,0.0,8.067010959562982,8.786755545908123,8.067010959562982,8.786755545908123,8.067010959562982,8.786755545908123,0.8153631690619663,1.0,1.0,1.0,1.0,0.0,8.067010959562982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.3125,0.0,8.094364595948663,8.797082140593158,8.094364595948663,8.797082140593158,8.094364595948663,8.797082140593158,0.773416443653979,1.0,1.0,1.0,1.0,0.0,8.094364595948663,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.3333333333333333,0.0,8.124701188485885,8.799380717706534,8.124701188485885,8.799380717706534,8.124701188485885,8.799380717706534,0.7322602764475687,1.0,1.0,1.0,1.0,0.0,8.124701188485885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.3541666666666667,0.0,8.153245410102105,8.7898262496442,8.153245410102105,8.7898262496442,8.153245410102105,8.7898262496442,0.6981422673863069,1.0,1.0,1.0,1.0,0.0,8.153245410102105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.375,0.0,8.181326398154495,8.764659192136508,8.181326398154495,8.764659192136508,8.181326398154495,8.764659192136508,0.6699141392809482,1.0,1.0,1.0,1.0,0.0,8.181326398154495,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.3958333333333333,0.0,8.222118192389892,8.807069147625949,8.222118192389892,8.807069147625949,8.222118192389892,8.807069147625949,0.6702752826858089,1.0,1.0,1.0,1.0,0.0,8.222118192389892,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.4166666666666667,0.0,8.26179465253449,8.955397156779572,8.26179465253449,8.955397156779572,8.26179465253449,8.955397156779572,0.6966150159482212,1.0,1.0,1.0,1.0,0.0,8.26179465253449,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.4375,0.0,8.300141361460371,9.117753015292443,8.300141361460371,9.117753015292443,8.300141361460371,9.117753015292443,0.7511190320447939,1.0,1.0,1.0,1.0,0.0,8.300141361460371,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.4583333333333333,0.0,8.345646467974191,9.286237613508812,8.345646467974191,9.286237613508812,8.345646467974191,9.286237613508812,0.8336061067658898,1.0,1.0,1.0,1.0,0.0,8.345646467974191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.4791666666666667,0.0,8.402899917262665,9.47504947383784,8.402899917262665,9.47504947383784,8.402899917262665,9.47504947383784,0.9470494951164952,1.0,1.0,1.0,1.0,0.0,8.402899917262665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.5,0.0,8.464055921769287,9.67519466068245,8.464055921769287,9.67519466068245,8.464055921769287,9.67519466068245,1.088709742607967,1.0,1.0,1.0,1.0,0.0,8.464055921769287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.5208333333333334,0.0,8.524082341406364,9.861206492436535,8.524082341406364,9.861206492436535,8.524082341406364,9.861206492436535,1.2410164592484576,1.0,1.0,1.0,1.0,0.0,8.524082341406364,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
0.5416666666666666,0.0,8.58435768076745,10.030297231271984,8.58435768076745,10.030297231271984,8.58435768076745,10.030297231271984,1.3871908682918803,1.0,1.0,1.0,1.0,0.0,8.58435768076745,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
